@relation dwt_64

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute a81 numeric
@attribute a82 numeric
@attribute a83 numeric
@attribute a84 numeric
@attribute a85 numeric
@attribute a86 numeric
@attribute a87 numeric
@attribute a88 numeric
@attribute a89 numeric
@attribute a90 numeric
@attribute a91 numeric
@attribute a92 numeric
@attribute a93 numeric
@attribute a94 numeric
@attribute a95 numeric
@attribute a96 numeric
@attribute a97 numeric
@attribute a98 numeric
@attribute a99 numeric
@attribute a100 numeric
@attribute class {0,1,2,3,4,5,6,7}

@data
10,144.995,181.22575,13.198706,166.253688,-13.86725,12.7195,10.089746,2.679438,-48.337466,36.564138,30.210414,5.295655,-32.911,28.7115,17.314394,1.095656,-13.188956,15.053596,7.431485,-1.055202,-196.606,-160.0585,13.619012,-182.5805,-12.5495,13.1105,9.56948,-2.19725,-36.321954,47.750214,30.280111,-5.230734,-30.957,30.6155,16.783338,-1.586813,-15.329368,15.122893,7.940528,1.005594,-331.90975,-260.644,28.070287,-298.688625,-25.976,17.726,17.283804,-7.293875,-74.683911,71.160752,50.007887,13.581135,-47.7025,34.2295,30.129143,2.066313,-17.399069,18.22992,12.220264,-1.913829,44.727,111.7185,25.241263,73.09575,-23.6815,13.0125,14.07847,-9.85125,-83.727807,88.353346,54.387537,16.356882,-52.979,37.403,28.72993,0.707937,-27.690302,34.940974,14.265485,-1.842764,448.48675,530.396,34.303204,480.310375,-34.154,19.144,21.744708,-12.021375,-84.935899,92.495224,60.606082,14.388828,-52.925,48.242,36.022842,0.701438,-24.16891,23.963849,14.699464,-2.800187,1
11,144.75075,223.413,31.699921,171.03875,-18.33575,12.89025,13.482211,-0.421375,-48.786479,26.654744,24.611019,-11.415355,-31.6405,23.4865,18.14665,-1.437312,-13.741206,15.330075,7.890495,-2.656379,-238.30575,-158.32525,31.605356,-186.60275,-15.1125,18.82325,14.129455,0.360125,-26.516858,47.784862,24.487361,11.337662,-22.6565,28.076,17.27677,1.254187,-16.228101,11.532204,7.946588,2.544126,-359.131,-268.87175,33.970813,-309.155563,0.78275,19.89925,7.033066,9.180813,-63.875077,81.933877,50.696571,-10.400789,-43.7485,37.256,30.027206,-1.342719,-16.986826,18.575695,11.75965,-2.990421,2.66075,99.365,39.375582,65.44175,-3.833,22.1195,10.136463,7.37325,-64.288381,66.325555,47.925075,-12.947567,-49.561,53.564,32.949409,-0.15875,-22.787223,31.143104,13.164026,-2.688818,421.80425,535.9885,43.46413,493.635563,4.85675,25.90075,10.004594,14.885063,-79.172625,104.476088,65.962822,-7.635472,-55.857,55.4685,41.918697,-1.041094,-26.926626,23.058752,15.781868,-2.565892,1
12,169.36,203.052,12.851767,190.173438,-21.70375,8.4715,11.273617,-3.210187,-38.635254,37.633991,27.87865,3.305857,-26.172,25.1465,16.937807,1.019406,-15.122186,17.401191,7.843209,-0.008596,-219.72675,-186.18175,12.509755,-206.11575,-12.20725,19.287,11.482798,1.15975,-38.566311,40.533836,28.017892,-3.392345,-28.32,25.195,17.233194,-0.720187,-17.67767,12.705295,7.441271,0.012949,-362.03575,-324.437,15.72424,-340.66,-20.2355,20.7745,18.257902,-0.26925,-63.213932,73.779875,51.965478,3.832961,-36.965,39.989,27.079366,0.12225,-17.404019,17.125419,12.029956,-0.569486,2.75875,53.00275,20.223697,36.51725,-28.1985,20.0685,18.239624,-4.13225,-70.952155,72.60926,54.219842,-2.291645,-38.1345,49.8535,29.916651,0.570687,-19.197242,24.445389,12.625429,-0.312895,464.98775,535.3765,28.533145,489.318188,-36.91725,19.2105,20.64804,-6.897688,-92.843827,98.36916,71.149786,-2.441242,-50.488,49.805,36.342512,-2.642719,-29.627774,28.383266,18.293507,-1.263975,1
13,167.30925,184.1795,6.377159,177.996813,-14.844,6.51875,8.0329,-3.594938,-39.878701,44.056288,30.862281,3.068622,-23.389,26.7085,16.268916,0.955156,-13.948388,13.534731,7.658673,1.24506,-198.5355,-181.2985,6.674547,-192.639188,-8.008,13.9155,7.97902,3.869437,-45.540505,40.77602,31.406266,-3.176368,-30.322,24.463,16.729545,-0.952156,-11.600794,12.29093,7.009528,-1.096259,-395.24,-351.73325,16.962686,-380.377813,-17.2115,19.483,14.098182,-1.557562,-65.220701,79.206566,52.179351,8.204427,-31.494,43.163,27.665636,1.944656,-18.437809,17.401191,12.04512,1.823562,-9.7415,46.28925,21.322391,16.3085,-27.49,14.72125,15.441235,-7.702625,-62.493037,83.58886,53.819941,10.055942,-40.6735,47.168,28.467566,1.092625,-24.444681,20.094561,14.060717,1.316279,442.38275,527.61075,31.82983,475.000625,-16.5055,21.2635,15.897771,-0.110625,-102.717867,86.076816,67.567976,0.767476,-47.1705,51.176,36.592106,4.857375,-24.238913,30.313668,15.810182,2.632514,1
14,175.9765,207.3485,13.826554,191.90075,-12.59725,18.06625,10.849638,3.155625,-35.527873,41.639043,28.565609,-7.712414,-21.0445,36.474,18.16525,-0.686625,-15.260779,12.706002,8.18648,1.577467,-221.509,-191.99175,13.205053,-207.531563,-18.55475,11.79175,10.744683,-3.381438,-42.329533,35.044212,28.751054,7.492194,-37.305,22.412,18.604822,0.591969,-10.634179,14.155571,7.400327,-1.700393,-440.5525,-368.139,28.529693,-404.602063,-3.75775,24.5875,12.394629,8.679938,-68.808207,68.429198,46.833232,-12.791783,-36.33,41.2615,27.992975,-1.960281,-19.472307,14.570642,12.693646,1.739195,-4.10175,47.119,23.565775,21.539438,-14.697,26.07375,16.160809,6.353813,-72.506022,71.74659,50.449806,-16.83608,-41.894,39.0625,27.6428,-4.495219,-24.72116,25.411296,13.986463,2.444888,435.30525,504.80675,28.204687,465.038313,-19.87375,18.86875,15.374556,-0.488188,-101.574475,75.715933,60.153479,-19.231846,-53.8115,56.64,39.100466,-2.319719,-28.655502,25.825661,16.872033,1.459402,1
15,179.37025,235.6445,20.79633,206.427063,-19.7265,10.2055,11.840016,-7.086063,-34.077597,40.120178,25.570618,7.142795,-29.15,33.2035,18.026462,1.358094,-14.570642,15.260779,7.884072,1.987346,-251.39125,-195.801,20.547223,-223.022313,-9.937,20.48375,11.763743,7.055688,-40.050882,33.663586,25.849985,-7.172847,-32.666,24.7555,17.982428,-1.214656,-14.639232,14.018392,7.827225,-2.058719,-473.633,-409.81525,23.281979,-436.481375,-20.575,11.96575,11.70984,-4.472125,-70.575621,63.672844,50.10583,11.423929,-42.7235,43.602,29.573189,1.424562,-19.26866,15.817979,11.98559,2.845884,7.71425,68.13975,23.290914,45.92275,-26.12325,20.43475,17.617459,-5.713,-74.819676,60.041497,49.440095,9.037267,-49.5115,45.557,31.40976,0.744625,-28.380438,23.685249,12.707142,3.13761,435.27625,493.16025,20.71819,467.406563,-28.0255,12.25575,16.075365,-7.409938,-98.708925,89.116314,69.362207,11.844525,-53.224,44.3335,35.556671,3.820781,-25.065521,31.143104,16.410155,3.073064,1
16,188.03725,217.30975,10.475127,204.290813,-14.89275,21.6065,13.188444,2.960187,-49.511617,44.401356,32.280188,-0.979829,-27.7345,34.18,18.415124,-0.393719,-16.435283,11.532204,7.366538,-0.312917,-233.12975,-202.63725,10.982968,-219.909813,-22.24125,13.08625,12.773278,-4.382188,-43.503684,50.408935,32.15971,1.363788,-32.4705,24.0725,17.836659,0.769094,-13.396845,16.29669,7.794023,0.388445,-498.141,-462.88825,13.205527,-476.213063,-16.09025,22.80825,15.616845,2.068938,-76.81902,63.495007,55.256519,-2.748391,-42.675,38.1355,27.979534,0.143281,-18.094863,16.716004,11.512778,0.321314,21.50825,32.5195,3.956469,26.696813,-28.9555,34.49675,22.457649,1.745437,-83.65851,63.322826,54.160973,-5.230778,-53.467,45.1175,32.341592,0.298969,-22.442862,25.894957,12.334922,-0.293604,416.573,456.88225,14.496972,435.307125,-30.442,21.48775,21.752869,-3.654125,-87.250259,88.456937,66.639961,-4.37213,-51.17,47.559,34.526444,-0.931375,-26.032843,29.002692,15.675167,1.525274,1
17,208.00775,222.09475,5.320208,214.898688,-11.768,12.10925,9.239576,0.250188,-47.716273,39.809051,32.653318,-1.057522,-30.86,23.2915,18.156914,-0.674469,-13.327549,10.841361,6.666872,-1.443625,-239.819,-224.31725,5.802483,-231.536875,-11.42625,13.86725,10.120765,1.165625,-38.117298,49.027602,32.626583,1.592581,-21.875,27.637,17.477922,0.857562,-13.741206,15.260779,7.287078,1.443779,-520.9955,-471.8745,20.626354,-501.183688,-25.0965,26.90075,19.096326,5.334188,-69.64224,65.120292,51.87505,-6.197924,-45.02,32.425,28.723376,-0.971031,-16.15739,18.575695,11.099783,-1.912348,23.4865,66.3325,17.214002,51.366938,-24.63325,19.36,15.897526,-0.854437,-66.153021,64.530918,52.467549,-4.436786,-47.949,39.355,27.744666,-1.452656,-20.232446,18.852174,10.920394,-2.869948,415.40375,500.809,31.511178,465.480125,-30.344,37.697,24.540747,8.3875,-83.279855,91.602148,66.396958,-13.957846,-58.6405,41.215,38.414651,-0.420813,-23.963849,27.619591,15.497424,-1.981313,1
18,187.2075,219.75075,12.737794,202.21575,-13.69625,8.887,8.088807,-1.287625,-46.058461,44.608185,31.975596,8.842989,-27.93,21.338,17.300486,1.504375,-13.396138,17.815555,8.007044,-1.706867,-236.0355,-205.27375,12.005661,-219.372688,-6.05425,14.16,7.419628,2.063063,-45.091846,44.125584,31.692567,-8.717875,-25.537,27.246,17.547737,-1.769969,-17.884852,14.362753,8.332579,1.639891,-573.56425,-527.688,19.32409,-548.720813,-20.085,12.03575,12.353371,-3.341312,-67.324697,74.78432,48.295636,13.749294,-43.755,36.085,28.837116,1.257531,-15.054303,17.260477,11.607015,-1.894759,22.0215,71.216,20.245467,46.893438,-17.2125,14.502,12.921562,-1.336688,-71.574409,82.588304,52.611974,12.572049,-48.975,34.3745,28.575271,0.112844,-20.232446,33.767177,14.230584,-1.089718,434.69125,525.683,33.441533,480.144375,-32.427,17.3845,18.657966,-7.867625,-82.20682,96.636041,61.802998,15.635192,-60.253,41.601,36.507604,1.028125,-27.895363,21.679894,15.4891,-2.445352,1
19,177.222,241.87,23.413857,205.273563,-13.23225,19.5805,11.872309,5.407813,-42.501714,37.427515,27.621128,-6.844749,-33.6915,27.392,19.974616,-0.427281,-12.913184,13.741206,7.28728,-1.553712,-256.32325,-194.678,22.066726,-222.540625,-19.94625,11.89,11.30118,-5.023375,-35.942238,43.089673,26.808621,7.099617,-29.443,31.836,20.246273,0.589125,-14.570642,10.841361,7.039222,1.456596,-617.6025,-546.655,28.295931,-572.872,-11.96175,20.73175,12.867245,7.256875,-64.31914,72.159186,50.374572,-11.000549,-44.085,38.28,28.723129,-2.499875,-16.567512,17.960512,11.759673,-2.526758,-17.3585,76.51375,34.061349,35.8765,-24.536,28.12525,20.386853,6.762875,-63.73613,72.368136,48.967486,-7.854719,-62.061,40.7715,33.067697,-3.2045,-21.130472,24.720453,13.719492,-2.149295,422.1405,522.828,38.46384,484.76425,-27.41375,33.622,23.49451,2.249125,-96.848173,82.657601,64.83453,-19.256374,-60.005,41.355,35.614285,-4.485687,-27.41453,31.897587,16.766438,-3.58618,1
20,193.13975,223.16875,11.581067,212.34125,-25.17025,16.62575,14.996935,-3.53975,-40.568484,46.680008,30.1946,2.382508,-22.2655,27.9785,15.193915,2.130125,-14.294164,15.675143,8.355151,0.340914,-242.065,-210.00975,12.255728,-229.968125,-20.16575,25.1705,16.070488,3.125,-46.472825,42.053408,30.076347,-2.563704,-29.834,20.605,14.973008,-1.867688,-15.053596,14.086981,7.752512,-0.112121,-617.46,-570.4075,18.189529,-593.3775,-19.8,25.56,19.219358,0.7125,-64.59774,74.507842,52.835939,2.300749,-39.115,41.115,27.131563,0.54,-17.889802,18.568624,12.361628,0.471552,2.49025,60.8645,22.520255,36.230563,-28.833,28.565,22.316512,-0.463813,-67.396115,74.508195,48.909651,2.321829,-52.1,53.8085,30.594956,0.933656,-28.036077,23.546656,14.836953,0.694799,444.2125,517.2625,31.481924,477.764875,-23.707,38.599,24.790642,2.068625,-100.817871,105.654481,72.298291,-0.134085,-59.18,49.217,37.157046,-4.391813,-23.06653,24.996225,16.054396,0.450073,1
21,190.2345,212.5,9.033412,198.456,-8.887,15.01475,9.438516,3.533875,-38.911026,48.89007,31.127606,5.589149,-23.145,27.832,16.213063,1.04675,-13.81121,13.465434,7.730677,1.586041,-229.56525,-207.81225,8.569199,-216.351313,-16.602,8.71625,9.614134,-4.730187,-47.957396,37.461457,31.182995,-5.450865,-29.1015,26.074,16.659962,-1.022344,-12.912477,11.048543,7.012843,-1.430764,-654.3725,-616.3575,14.974261,-641.8225,-13.7875,17.7275,13.145699,-1.255,-73.334044,71.987006,52.473302,8.829112,-34.91,43.41,26.55209,1.51375,-18.646406,17.196837,11.966499,2.835056,-3.19825,29.6875,12.572692,12.652625,-12.939,11.79175,9.449604,0.323625,-71.91877,72.229897,54.407061,12.589418,-40.43,43.9455,27.54623,2.102688,-19.197242,30.728739,12.270214,2.83762,425.24425,475.63675,19.373703,455.042625,-23.04475,13.03575,13.285032,-8.6045,-106.787973,78.961907,72.811393,6.586258,-53.369,54.489,35.353988,0.146312,-23.480188,25.342707,15.655469,3.486965,1
