@relation dwt_32_ert

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute 7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute class {0,1,2,3,4,5,6,7}

@data
17,96.467396,149.051392,124.442662,-159.409799,-107.481645,-136.596236,-217.135875,-160.031346,-190.560063,12.180338,13.844797,63.908664,44.133539,323.550143,375.618658,354.814781,1
18,108.482555,128.957185,115.388159,-138.348624,-117.908642,-125.453029,-245.313727,-174.87776,-206.98854,11.043017,3.93611,67.983014,43.564142,300.552555,395.64074,348.822404,1
19,100.33421,142.077551,124.684581,-153.954824,-111.175924,-135.785008,-229.464989,-201.084198,-211.373927,10.274115,30.348669,55.173421,45.928972,333.216292,355.069781,345.948899,1
20,114.386896,130.649292,124.209847,-140.557625,-127.714445,-135.90557,-239.511916,-188.24031,-212.910117,12.351066,27.759244,64.323029,48.061164,295.654427,362.670118,333.174131,1
21,93.532903,129.095424,110.908373,-140.696572,-104.304614,-122.30225,-235.026031,-165.935334,-209.499387,12.042651,24.548626,95.742258,55.311837,315.300681,399.197133,346.087315,1
22,89.388904,115.31957,103.122508,-126.471705,-98.64281,-113.869206,-226.325082,-176.050143,-207.946316,11.969759,40.603132,85.902514,56.787569,349.550106,395.847568,365.992725,1
23,110.830856,164.036045,138.762812,-175.015999,-123.43256,-150.026934,-258.054024,-197.354563,-229.265674,11.541681,-6.007933,69.675474,35.761042,294.754633,384.280716,332.113383,1
24,119.186737,149.880475,139.056526,-164.002104,-131.92668,-150.467462,-261.745121,-215.102943,-238.233467,11.576132,13.396138,56.209686,31.928523,327.689899,355.935633,338.318245,1
25,118.322653,141.179172,129.889329,-151.019624,-129.30296,-141.024227,-267.652291,-220.555444,-243.532525,12.28088,-7.458209,40.948554,19.714667,302.691553,392.152228,353.682172,1
26,122.5013,132.133862,127.455467,-143.182052,-133.100477,-138.141353,-281.287078,-240.891128,-264.094925,12.245201,-9.529325,42.847843,12.921581,306.390429,383.175861,342.944491,1
27,113.696053,140.730866,124.270039,-150.225543,-122.534888,-134.291599,-287.918679,-258.156201,-273.840536,11.820296,-7.906161,37.219273,10.142121,314.84778,346.132305,328.807835,1
28,121.982637,149.22428,135.525853,-158.443184,-132.78935,-146.194592,-301.037631,-248.318577,-279.588961,13.354153,-2.140412,42.572071,15.25247,293.754431,370.294497,332.379785,1
29,114.836263,153.02215,135.86279,-163.690624,-126.125929,-147.299358,-328.903648,-271.034736,-292.604764,11.941825,-21.337301,43.710513,15.208895,305.732113,345.505455,325.283703,1
30,127.817682,158.374241,145.202079,-170.285809,-140.66157,-157.294843,-321.82056,-281.322079,-298.52749,11.992012,14.950005,62.63163,40.802006,312.435485,357.383081,340.484731,1
31,124.952486,180.574566,146.729872,-192.244656,-136.622223,-158.106336,-336.015021,-297.136169,-318.75039,11.978442,4.971314,54.483285,24.14257,295.441941,335.806425,320.527968,1
32,122.43165,160.825427,139.254869,-172.115801,-134.032797,-149.837518,-344.3359,-311.183552,-330.134898,11.70124,-9.184256,39.601515,16.61586,289.365065,322.68818,306.804175,1
33,141.144877,154.541723,149.655968,-165.1409,-151.848353,-161.161921,-358.974071,-326.588581,-343.332074,11.083037,18.920763,23.650601,21.139134,273.035849,332.699751,308.813065,1
34,138.521158,157.234385,150.398254,-170.69982,-150.53667,-161.895898,-377.962717,-329.417361,-351.032555,11.433233,13.189309,37.979059,26.240202,285.637906,339.606063,311.456849,1
35,141.662833,161.032609,153.514385,-173.531075,-151.710113,-165.546691,-386.834078,-329.938145,-357.748213,10.746758,28.484736,63.321412,46.403617,312.881669,375.581888,346.831457,1
36,136.000676,147.947598,142.094787,-159.305855,-149.224633,-154.213448,-403.68019,-370.197624,-385.059417,11.909658,8.217641,49.200843,29.641298,295.412596,360.908008,327.99422,1
37,126.091635,165.071957,143.881469,-176.914935,-140.869459,-156.026382,-414.081731,-362.124585,-390.948998,11.266176,12.740296,62.528392,36.676038,330.006735,394.643366,351.032467,1
38,130.027745,158.719663,142.129259,-171.149186,-142.940929,-155.266949,-416.256084,-374.61492,-398.536165,11.167441,8.11405,54.06892,29.822494,324.241693,369.537893,351.46336,1
39,118.737724,175.257476,148.171398,-185.684827,-133.583431,-159.453021,-439.00371,-374.512036,-411.627187,12.322158,-13.914447,69.053573,20.914539,290.232685,393.469568,334.096817,1
40,133.342661,168.93877,153.108594,-182.162728,-145.081341,-165.391481,-444.596924,-391.942218,-414.931143,12.197929,0.86267,57.003767,28.838466,290.680284,365.843614,335.72882,1
41,132.134216,158.270297,147.187282,-172.840585,-144.874159,-159.832561,-450.610867,-402.513464,-424.231365,12.397114,-8.079402,51.75562,22.399287,297.342291,373.440415,339.932746,1
42,127.507263,156.544249,142.388148,-168.490464,-139.625659,-154.636298,-462.794317,-426.477313,-447.803653,11.709409,-6.594478,30.141487,9.365364,291.165006,347.373984,315.885989,1
43,130.99436,152.228423,138.271019,-166.039632,-142.560859,-151.330662,-472.460467,-444.494394,-459.870431,12.215238,-4.557303,15.881972,8.52815,309.739287,344.057654,327.641463,1
44,121.603274,150.01836,135.767684,-160.756484,-130.959358,-147.014836,-499.981063,-442.146799,-473.919759,12.442885,-17.504782,29.796419,1.312037,289.198542,344.336607,321.323994,1
45,125.987337,155.439041,144.122858,-168.45617,-137.796373,-156.492365,-505.609633,-445.632836,-469.071658,12.817994,-28.138961,46.127757,18.515061,288.368752,383.450219,347.587442,1
46,122.293411,161.826337,147.221753,-172.875941,-136.103913,-159.280399,-499.599225,-453.817597,-472.245683,11.87587,-9.667917,47.370851,22.079851,316.441952,371.717196,344.638365,1
47,155.128268,169.388137,161.654068,-182.404558,-167.730678,-173.280848,-489.452243,-452.679155,-469.770809,12.033458,11.532204,55.898559,32.938625,308.218654,371.848011,342.778497,1
48,139.902137,161.96493,147.463672,-173.772906,-150.84709,-158.719221,-502.261482,-473.630729,-490.554446,10.975204,12.705295,30.21043,21.259431,308.424422,334.499691,323.507098,1
49,133.307306,156.647487,143.156331,-166.660472,-146.427672,-154.463852,-522.94082,-485.001006,-503.176302,11.47068,20.7154,40.119825,32.342622,298.622507,327.243715,313.666293,1
50,138.141441,149.949771,145.650827,-161.411972,-152.918912,-157.92514,-531.574594,-477.399608,-502.820097,11.337013,24.997639,49.304081,38.367791,296.138088,349.720518,325.984977,1
51,139.901784,168.559407,155.171578,-179.36612,-149.741882,-166.660295,-524.980823,-484.926759,-503.338936,11.218907,34.595906,64.460915,55.303087,307.560337,362.91407,334.546007,1
52,131.650201,164.623651,151.744938,-176.155856,-144.59768,-163.898425,-551.532683,-499.945708,-521.189847,12.105334,9.632916,73.921296,42.562702,274.938319,352.274588,314.727837,1
53,123.260379,171.045241,144.269848,-184.580326,-136.518278,-156.483791,-541.339738,-507.091022,-524.821724,11.310189,20.404627,87.179902,50.616118,312.434424,362.117161,331.517645,1
54,131.92668,171.010593,145.970351,-185.995246,-142.388325,-158.296371,-550.319995,-522.562518,-537.606215,11.261399,33.97436,70.987157,53.533729,299.381587,335.911076,319.81273,1
55,144.977043,165.69315,152.461061,-178.641336,-156.198474,-164.062385,-559.950789,-525.35559,-544.785116,12.229927,47.094372,88.422996,66.472545,292.269153,363.321717,320.726312,1
56,137.864963,158.546775,147.601558,-170.768763,-145.771831,-158.365314,-575.867763,-516.276339,-543.587454,11.881107,49.338729,90.943478,68.975792,292.785341,351.545561,327.104238,1
57,138.244679,147.394994,144.701536,-159.271206,-152.746378,-156.46629,-571.137218,-530.188665,-550.708903,12.019008,42.744251,87.59462,69.502409,291.924792,385.66417,334.625556,1
58,139.004465,166.487585,151.140451,-180.609214,-149.465757,-162.60327,-606.870859,-555.35813,-584.665055,12.310471,55.277366,90.28799,74.189555,298.173848,333.355946,314.392756,1
59,125.98769,158.477832,141.533698,-168.179691,-136.104267,-152.884264,-599.212893,-568.619918,-582.662175,12.219649,52.964066,104.926515,74.197864,289.815846,341.398579,312.145748,1
60,129.993096,163.51809,144.701183,-175.119944,-142.97487,-157.320917,-606.464273,-567.071354,-588.724732,12.607948,62.32121,106.031722,80.335197,286.779176,345.779459,307.045387,1
61,130.199925,170.147923,153.980368,-182.404558,-141.835721,-165.262168,-625.619796,-570.797807,-593.662105,12.052949,58.177918,126.402055,97.918026,250.3904,337.296299,302.929937,1
62,128.54282,173.738257,156.897714,-186.305313,-141.870369,-168.093159,-598.940657,-563.896445,-577.039792,11.152076,73.404048,132.375693,113.368574,300.829034,342.125484,323.903166,1
63,144.529091,163.345909,152.521872,-174.704872,-155.888054,-164.32976,-607.705245,-569.309347,-586.774885,11.802597,98.435274,113.385633,103.605816,292.924995,334.597626,309.427276,1
64,131.063303,152.642434,142.284557,-162.827953,-145.150637,-154.230949,-618.89521,-571.239749,-597.192335,10.914054,90.356226,132.409634,107.274374,260.674561,331.352713,301.271506,1
65,142.905927,150.1566,147.247651,-162.482532,-155.819111,-159.392652,-606.80722,-575.213689,-592.467094,10.932686,117.701459,126.333819,121.396092,310.673021,325.205833,317.681422,1
66,128.75071,155.128621,143.027107,-167.420258,-142.733746,-155.249536,-621.758993,-570.691741,-594.530962,11.517339,97.537956,151.261808,122.371192,264.266664,353.209383,307.970724,1
67,127.99057,155.715166,143.121771,-167.281665,-139.695309,-154.843834,-610.600848,-570.522035,-591.478029,11.732683,123.74298,173.151359,149.491831,323.999156,362.052461,344.466185,1
68,127.369023,172.805937,154.584679,-182.473855,-140.005728,-165.477924,-617.332504,-551.91452,-579.937162,11.563941,99.50548,183.854481,147.877418,280.879077,360.040388,326.889808,1
69,119.704339,152.365955,134.377954,-164.13999,-132.237453,-146.574485,-608.493669,-568.16737,-591.067023,11.535099,127.68015,159.409799,140.08351,307.251331,357.045084,325.276721,1
70,132.824352,144.425146,137.381744,-158.304591,-145.667886,-149.768133,-596.794588,-576.387486,-587.207988,11.371018,137.968554,167.661382,149.465845,316.679186,344.509495,330.645517,1
71,140.522977,152.84997,144.899614,-164.588296,-152.607786,-157.640088,-584.575783,-558.465865,-572.702576,12.784946,164.62259,178.226971,173.737992,333.733895,368.573399,349.687373,1
72,125.642622,150.984975,140.756676,-161.930635,-136.656871,-152.772188,-598.590639,-562.613046,-578.485825,11.924791,153.333277,194.557249,173.859084,317.437205,360.39076,338.472394,1
73,127.023602,153.402574,141.257573,-165.003367,-143.285997,-154.394821,-586.329407,-549.531571,-567.265809,12.381978,164.657946,214.615747,189.197114,312.949551,388.38936,354.08814,1
74,123.847278,163.000487,139.789973,-173.703609,-137.761018,-151.528917,-598.279512,-548.039575,-574.56757,12.750102,138.279327,206.193398,166.159575,261.262521,338.330442,305.466771,1
75,115.906115,147.083514,132.979474,-160.756131,-126.126283,-145.055355,-598.176982,-558.812347,-579.625151,11.640836,156.026293,176.535218,164.79539,302.107483,332.215383,313.381682,1
76,118.944553,157.061498,139.31515,-170.251514,-131.892032,-151.650098,-586.601644,-544.627785,-567.754596,12.931312,156.474599,213.893437,179.132775,305.388105,346.482323,331.681517,1
77,119.462509,137.415596,131.140996,-150.363782,-131.167247,-142.62989,-593.280267,-549.457324,-565.186915,11.367233,154.195947,208.472757,176.163545,292.821757,351.969825,325.208485,1
78,113.972532,136.380746,127.619251,-149.466464,-125.573326,-139.323812,-582.359003,-554.704057,-567.0908,11.27025,169.975389,187.445522,175.922157,300.001366,352.206706,334.50305,1
79,121.188556,145.84042,133.083153,-157.166149,-133.722378,-145.651092,-591.296833,-537.860773,-562.33639,11.643936,149.77653,198.735189,173.87632,281.184194,360.392527,326.181994,1
80,103.994548,134.032797,118.651192,-144.149374,-116.769493,-129.941389,-590.027576,-541.587226,-569.242172,11.499788,153.505811,201.80969,170.726336,302.037833,352.204231,326.500457,1
81,112.418665,133.756319,122.759571,-147.497878,-122.846015,-134.351968,-590.409414,-551.667033,-571.392661,10.575018,150.984622,201.1192,176.465392,287.225007,350.343126,321.901435,1
82,119.082439,139.763898,134.179434,-154.058415,-133.306952,-146.341405,-581.948881,-534.403021,-555.473919,11.103976,178.329855,218.794041,201.480266,294.961462,363.220601,327.587722,1
83,106.13496,128.819299,120.058069,-138.831578,-121.533271,-131.417033,-578.841147,-551.087205,-565.911699,11.643822,176.812051,206.781711,189.301236,283.876503,330.939762,309.712947,1
84,108.448613,139.074115,126.428218,-151.572228,-119.49645,-137.286549,-583.465625,-536.927392,-557.616453,12.319298,172.496224,228.738084,201.030988,285.743264,348.479899,315.264707,1
85,116.182947,147.359993,128.940214,-159.409446,-128.681413,-140.04895,-570.995797,-534.127249,-556.345428,11.784689,196.490832,221.415993,204.535763,307.942175,347.027856,320.762109,1
86,106.756507,141.663187,120.627556,-153.229686,-119.496803,-131.287897,-580.22354,-550.008868,-565.169237,11.719821,162.344292,219.380586,189.093612,272.034585,322.616408,296.928191,1
87,102.613215,140.557979,123.268776,-151.054625,-114.905205,-133.739437,-584.915194,-535.85259,-563.146028,12.561926,157.130794,220.868339,191.942987,309.56746,363.496726,334.778468,1
88,104.857572,130.269222,121.991476,-143.35494,-114.352602,-133.730686,-572.866094,-531.08669,-548.56637,12.12842,183.233994,222.281138,207.669483,328.833291,380.829328,355.859354,1
89,114.075769,124.606357,119.11691,-138.452568,-128.301343,-131.279324,-570.002312,-525.497011,-543.838477,11.82621,175.048526,212.063445,199.624111,317.369322,357.663449,337.543874,1
90,91.288193,112.039655,104.443472,-122.500947,-101.715896,-116.122048,-559.883614,-516.276339,-540.488559,12.010219,198.147584,225.769649,216.835974,333.07876,356.939725,346.699139,1
91,85.073785,105.133697,95.259039,-114.283305,-96.77817,-106.186844,-562.821642,-523.011531,-541.716273,11.794976,185.3737,235.230738,204.156223,300.417852,383.175508,339.879978,1
92,80.136058,121.430387,96.338172,-132.202452,-90.839533,-107.714637,-549.870982,-507.370329,-532.903071,11.988458,181.404709,243.033308,205.158017,313.086377,369.332478,335.382691,1
93,109.897829,125.780861,117.951598,-136.138561,-117.736107,-127.178988,-571.179645,-532.023607,-546.350474,11.012347,174.843465,222.904453,202.412675,287.329305,341.916181,320.192093,1
0,173.773259,211.061828,189.284088,-223.249874,-184.820742,-201.420162,-427.477869,-409.284012,-416.998547,11.015038,187.721648,219.659186,204.855817,163.656329,204.501292,184.994337,1
1,186.029188,196.975201,193.064635,-209.300779,-197.458154,-203.741859,-417.083399,-378.995093,-402.562962,11.817395,219.488066,264.715323,237.008404,175.981907,228.707324,204.018249,1
2,180.091258,200.668773,192.598475,-211.441898,-190.518255,-203.405453,-416.878338,-362.740829,-388.634637,11.499129,201.427145,265.546174,232.563178,180.299855,249.735266,210.536536,1
3,168.559407,193.176623,180.272366,-205.15784,-183.30223,-192.279216,-420.364375,-337.291349,-372.275457,12.199827,195.456689,283.915393,243.846127,179.296117,252.771229,222.524736,1
4,171.493901,211.026826,190.164348,-221.38488,-180.782102,-200.703598,-394.880246,-331.768491,-368.416333,11.204921,213.200473,274.452891,242.593045,185.305464,241.340494,209.706039,1
5,154.403483,193.176623,173.039106,-202.637358,-166.729415,-183.354026,-384.492848,-347.507274,-367.105799,11.74072,203.465734,264.235198,228.610628,173.462486,228.806673,202.852407,1
6,158.477479,195.110206,175.33517,-206.53882,-170.734821,-186.392552,-365.561832,-335.046285,-350.685277,12.320914,207.955155,263.954476,238.241864,206.574882,269.310103,232.304553,1
7,176.293034,202.291583,187.419448,-213.926318,-187.997773,-199.330927,-361.494553,-313.673982,-334.597802,11.981429,205.190721,248.036442,229.411426,193.175562,236.438123,221.31523,1
8,166.591529,190.41431,179.003551,-201.187436,-179.193233,-190.173098,-351.860577,-315.781514,-330.800197,11.357289,216.687216,241.791275,230.223803,207.055008,229.669343,218.915486,1
9,164.347172,181.437943,173.850599,-191.692052,-175.637546,-184.985233,-367.228836,-314.502358,-339.182683,11.956083,178.848165,241.03361,217.553157,170.424755,250.145741,218.001816,1
10,168.766236,192.348601,175.973952,-199.046316,-178.502743,-185.822712,-347.721174,-314.465942,-331.49104,11.500336,185.684827,228.912739,206.556851,168.110395,224.045369,199.357797,1
11,149.535053,194.730844,169.828222,-205.364669,-160.653246,-180.963121,-336.292561,-306.079656,-321.954026,11.247641,172.806291,249.353075,209.034553,184.820742,243.411963,211.233655,1
12,170.286162,200.772364,184.752506,-211.786613,-179.158584,-194.764961,-332.971987,-292.401735,-308.493983,10.230678,171.424604,234.090882,210.189612,162.896896,229.704699,200.66948,1
13,178.399505,210.992532,199.245013,-222.801215,-189.102627,-210.000284,-318.162696,-287.128133,-302.273211,10.909085,185.477291,222.698331,205.053895,188.032067,220.245731,203.111562,1
14,164.036045,213.547662,185.95229,-225.562467,-174.946703,-196.681309,-339.606063,-279.629619,-306.597965,12.199083,146.911333,209.507254,176.552101,158.962554,204.569174,181.023313,1
15,192.590078,211.821614,201.040623,-219.313057,-203.638268,-210.457694,-314.536299,-267.512284,-294.952977,11.04806,173.220302,192.072122,183.163637,165.555264,208.159508,186.063836,1
16,168.00645,193.590987,179.806383,-206.469877,-178.123734,-190.768748,-306.732315,-276.317531,-290.394878,11.356075,132.202805,154.817494,144.658314,162.861187,191.933883,177.899316,1
17,162.827953,207.781913,186.659927,-218.173908,-175.119237,-197.863769,-293.13253,-271.931701,-282.956203,11.785139,103.89025,185.235107,139.444286,154.506367,228.429785,179.737528,1
18,175.602898,203.811155,189.577449,-216.205677,-186.68609,-200.72101,-301.490179,-245.34484,-270.552578,11.712831,98.401333,165.001953,133.825262,155.336157,200.807719,184.165696,1
19,169.07701,199.806102,186.979362,-211.061828,-182.197376,-198.416373,-290.12768,-226.287251,-256.395947,11.665773,85.315615,143.319938,115.086136,149.982652,238.06164,194.368805,1
20,166.936951,201.083491,180.842294,-214.721459,-179.193233,-192.002914,-285.567548,-242.308877,-268.055961,11.993401,81.517391,113.385279,93.368677,173.877204,194.177179,182.024842,1
21,173.220302,188.48108,180.099832,-199.21885,-185.097574,-191.053446,-267.858059,-238.926785,-254.979965,12.001738,75.164744,116.527662,94.568638,141.835721,195.352744,172.133302,1
22,175.775079,198.010758,187.143234,-210.33669,-186.306373,-198.519964,-274.658305,-227.220279,-250.231743,12.998857,32.040422,93.981562,60.680634,120.014406,191.278041,147.566468,1
23,164.761537,211.752672,191.752863,-223.180578,-174.083679,-202.318011,-276.837608,-235.403272,-251.579931,11.847806,8.735244,92.186218,56.606461,121.637569,197.633163,162.647818,1
24,170.113275,208.575641,195.913126,-220.073197,-181.334352,-206.978817,-257.361059,-223.734596,-237.89821,11.299966,25.721716,62.355504,48.052502,151.122154,207.400783,181.69586,1
25,171.736085,200.876309,186.012747,-214.2728,-183.336525,-198.088187,-266.715728,-208.818532,-232.665443,11.250232,-1.07056,40.948554,20.034014,155.370098,207.536901,181.349555,1
26,180.332735,198.390828,189.534316,-206.78065,-192.79726,-200.936855,-265.23045,-214.927581,-239.285819,11.136001,-19.127238,22.338564,1.381156,154.058415,205.63938,178.07017,1
27,158.856842,197.388858,178.088555,-210.16451,-169.491374,-189.810529,-243.932748,-208.33275,-227.168307,10.925112,-52.860121,-5.109907,-25.730909,171.562843,196.66372,187.384446,1
28,166.350052,199.944342,185.675988,-212.615342,-177.74331,-197.017804,-244.586114,-208.230573,-222.671196,11.186471,-62.665217,-15.467607,-37.780627,175.154239,222.524029,191.90878,1
29,152.33166,207.194308,178.649733,-216.758634,-164.312524,-189.879561,-230.32766,-196.282943,-213.201622,11.256156,-77.581635,8.251583,-36.969399,195.352744,240.028458,221.73861,1
30,161.239792,197.562099,178.701705,-210.16451,-174.531985,-190.44065,-240.890421,-188.032421,-211.846452,11.663822,-95.258951,-43.607275,-73.498623,150.570964,228.911325,198.467638,1
31,156.578544,187.272635,174.37704,-196.526188,-168.62835,-184.976836,-229.429988,-179.814426,-209.593963,11.463557,-126.574589,-74.61214,-100.386359,166.762296,196.111823,182.015473,1
32,167.661028,187.065806,176.45726,-200.151171,-179.262883,-187.721648,-240.442115,-195.145562,-218.865282,11.528946,-122.708129,-89.113486,-107.524955,163.65739,193.244505,180.971076,1
33,172.805584,188.239603,180.66976,-202.291583,-184.855744,-192.011488,-226.839502,-178.434154,-206.805929,12.708409,-148.291959,-88.560882,-118.504114,148.707385,239.513684,182.983413,1
34,169.180954,192.486487,182.948235,-204.881715,-179.849781,-194.230035,-215.827374,-175.775079,-193.971323,11.852148,-153.920176,-104.167082,-128.02513,128.577469,219.519886,171.726627,1
35,168.0761,204.743122,188.973315,-216.551098,-179.642599,-199.900855,-216.17315,-167.972155,-188.041613,12.436897,-174.739874,-110.934094,-137.485335,136.897994,193.866759,169.163453,1
36,167.903212,193.936409,180.72129,-206.711354,-178.675631,-192.417102,-206.504171,-173.773259,-192.934969,11.938298,-174.566633,-129.751619,-157.243047,125.988044,196.214,156.155252,1
37,166.729769,191.209452,179.88443,-204.570588,-177.708662,-191.502371,-207.05819,-176.947462,-190.224982,11.552357,-182.300613,-131.719144,-160.022507,119.289975,162.102815,137.329948,1
38,159.168322,192.831555,175.464835,-205.813328,-172.840585,-187.859622,-187.134749,-162.930837,-174.869098,12.019977,-176.603808,-135.275184,-158.72753,114.145066,158.961493,133.62736,1
39,159.89346,185.788064,175.024573,-198.631952,-171.700729,-186.392198,-190.242483,-145.115636,-161.507255,11.638724,-184.959689,-131.615907,-157.5281,112.487961,173.601432,145.815318,1
40,155.300802,188.757559,173.565723,-199.288147,-167.626734,-184.11337,-177.467185,-147.775064,-164.062297,11.016822,-188.379257,-173.323893,-178.097659,85.246672,134.653637,110.028025,1
41,169.802148,192.209654,183.785273,-202.016165,-177.777605,-193.133755,-209.404724,-153.88482,-177.855298,11.869843,-215.414424,-158.719663,-182.08583,70.537791,151.952298,117.873993,1
42,172.978471,208.645291,188.420888,-219.624538,-184.924687,-198.796177,-191.795997,-143.113109,-170.510227,10.246887,-204.501999,-143.838601,-180.609656,79.790636,155.542632,108.301447,1
43,176.362331,203.258905,186.573571,-213.858436,-187.859887,-197.087012,-197.250972,-150.847443,-176.716503,10.483604,-195.94035,-144.457673,-175.154327,85.971457,151.642938,109.199649,1
44,173.25495,203.431793,189.284088,-214.03097,-183.474764,-199.003183,-211.025766,-160.721836,-183.724108,10.34465,-193.038737,-149.639351,-166.910788,74.474254,148.258018,117.114561,1
45,169.975389,187.549114,177.691691,-195.179503,-179.262529,-186.60822,-198.702309,-156.164179,-172.538916,11.815604,-181.74907,-166.347577,-174.765684,82.933019,137.761725,115.897541,1
46,151.641524,185.512292,171.554535,-196.526188,-161.515917,-181.222364,-202.154758,-159.962403,-181.575829,12.141933,-183.715534,-143.838247,-163.112741,106.756153,160.963313,132.832484,1
47,162.171758,178.848872,168.430184,-188.895445,-170.837705,-177.752061,-199.875399,-148.15372,-179.616525,11.781851,-179.988021,-127.369023,-160.885885,112.93662,169.456726,136.458085,1
48,149.293576,167.14378,158.848622,-177.432537,-159.51339,-169.120408,-192.520428,-155.266507,-174.282111,11.849629,-170.527286,-126.816419,-148.153985,94.395573,154.507781,123.82138,1
49,153.436515,171.528549,162.016548,-181.610477,-161.308734,-171.157406,-184.856097,-136.380746,-164.17455,12.03024,-149.431815,-112.660849,-132.927855,113.283103,165.140193,137.321463,1
50,158.166705,181.12717,172.642242,-190.621846,-164.899423,-181.489562,-187.790591,-137.002292,-160.385165,12.166496,-141.110583,-95.121065,-116.570707,124.676361,181.436883,154.757125,1
51,146.773094,160.825427,153.911425,-168.939124,-154.852496,-163.578901,-191.797058,-131.546964,-152.081786,11.799985,-118.633426,-84.41759,-97.986527,125.158607,176.569159,156.517909,1
52,147.912243,177.467185,164.554089,-188.308546,-157.441921,-175.041632,-155.923056,-120.152645,-143.579358,11.377128,-93.429312,-60.62875,-74.819499,147.290696,180.193789,165.416671,1
53,153.88482,185.270462,167.713531,-193.867466,-164.692594,-177.346623,-165.348082,-127.714091,-145.469631,11.156842,-112.557257,-31.523174,-77.6938,128.715354,199.461034,164.562398,1
54,124.744596,185.891655,152.176274,-196.560836,-136.897994,-162.94878,-172.080799,-133.894558,-152.521784,11.429086,-128.404935,-48.751831,-90.865785,134.136389,191.278748,156.621589,1
