@relation Sub1_A_64_ERT

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute class {0,1}

@data
1.218404600000000038e+01,1.903062000000000031e+00,8.470187699999999609e+01,8.034432999999999936e+01,-4.782335100000000239e+01,-1.132477260000000001e+02,1.175815290000000033e+02,8.923574000000000339e+00,-1.446073649999999873e+02,7.796632099999999355e+01,-1.564548600000000000e+01,-6.218013599999999741e+01,5.172820399999999808e+01,3.253765200000000135e+01,-3.453009200000000334e+01,3.125464399999999898e+01,1.336974799999999952e+01,-5.266549000000000369e+00,4.028920000000000279e+00,1
5.720994000000000135e+00,2.426630999999999982e+00,4.615148540000000139e+02,1.121524059999999992e+02,2.731792510000000220e+02,-9.073878999999999451e+01,1.282163319999999942e+02,4.974695599999999729e+01,-1.642244090000000085e+02,1.046784530000000046e+02,6.537220999999999727e+00,-1.035650749999999931e+02,5.456028799999999990e+01,4.586053900000000283e+01,-4.787946900000000028e+01,4.405956199999999967e+01,2.156584199999999996e+01,-8.616749999999999687e+00,5.058594000000000257e+00,1
1.330582899999999924e+01,1.857509000000000077e+00,4.601377449999999953e+02,1.116249669999999981e+02,3.878154829999999720e+02,-4.672664100000000076e+01,1.369643400000000000e+01,-3.253146600000000177e+01,-6.772463500000000636e+01,3.593467799999999812e+01,-3.331427999999999834e+00,-4.627134399999999914e+01,1.984917000000000087e+01,2.143683199999999900e+01,-3.088264600000000115e+01,1.898436999999999841e+01,1.275373500000000071e+01,-6.650852999999999682e+00,3.547063000000000077e+00,1
8.430956999999999368e+00,2.273916999999999966e+00,2.730693059999999832e+02,2.590916169999999852e+02,-8.633131199999999694e+01,-1.683674099999999996e+01,5.366893199999999808e+01,6.158680799999999778e+01,-3.166305200000000042e+01,3.855834999999999724e+01,2.922302399999999878e+01,-9.341177000000000419e+01,5.330354599999999721e+01,3.481122400000000283e+01,-3.711838699999999847e+01,5.889708399999999955e+01,1.633356500000000011e+01,-8.237776999999999461e+00,4.557968999999999937e+00,1
1.626105990000000077e+02,7.476834000000000202e+00,-1.336539899999999932e+02,3.827824790000000235e+02,-5.095225540000000137e+02,-1.706132369999999980e+02,1.795306239999999889e+02,3.893267399999999867e+01,-6.478138099999999611e+01,5.967054900000000117e+01,3.166659999999999897e+01,-5.487034799999999990e+01,8.118305700000000513e+01,3.792828000000000088e+01,-2.432300000000000040e+01,3.559741499999999803e+01,1.483754500000000043e+01,-6.837584999999999802e+00,2.132975199999999916e+01,1
1.884452571000000034e+03,3.583061699999999661e+01,-3.233181779999999890e+02,1.533354268999999931e+03,-1.950732078000000001e+03,-1.578764669999999910e+02,7.136988059999999905e+02,3.630030120000000124e+02,-8.058900699999999517e+01,2.140749869999999930e+02,6.947545800000000327e+01,-4.304513200000000239e+01,1.583525089999999977e+02,5.179828400000000244e+01,-2.870454399999999850e+01,1.240969340000000045e+02,3.457012499999999733e+01,-1.626230199999999826e+01,9.199878300000000309e+01,1
1.075059810000000056e+02,2.037065999999999821e+00,1.980797098999999889e+03,8.520961599999999692e+01,1.875020418999999947e+03,-3.772946199999999806e+01,3.054677200000000070e+01,1.619034000000000084e+00,-3.302160099999999687e+01,3.278190599999999932e+01,-7.224110000000000253e-01,-2.138961300000000065e+01,2.631102900000000133e+01,1.320680800000000055e+01,-1.513298400000000044e+01,1.810821599999999876e+01,6.921765999999999863e+00,-6.843282999999999561e+00,9.471555000000000391e+00,1
1.575085159999999860e+02,1.875699000000000005e+00,1.736106048999999985e+03,1.838785680000000013e+02,1.545646189999999933e+03,-2.411780200000000107e+01,3.069203399999999959e+01,1.282683300000000060e+01,-2.959737700000000160e+01,2.854419899999999899e+01,1.937204900000000052e+01,-2.698780299999999954e+01,2.792593099999999851e+01,1.546275100000000080e+01,-1.406553800000000010e+01,2.078014399999999995e+01,8.161284999999999457e+00,-1.081769000000000069e+01,4.854714000000000418e+00,1
1.312702510000000018e+02,4.299407000000000423e+00,1.720719949000000042e+03,1.653637760000000014e+02,1.504249469000000090e+03,-1.911027829999999881e+02,8.129903799999999592e+01,-5.740063700000000324e+01,-1.304458180000000027e+02,5.896622800000000097e+01,-1.909513400000000161e+01,-8.331291099999999972e+01,5.542428000000000310e+01,3.084998399999999918e+01,-2.248199400000000026e+01,1.786917000000000044e+01,1.221781000000000006e+01,-1.064969999999999928e+01,9.836124999999999119e+00,1
1.017488220000000041e+02,3.059738999999999987e+00,1.491198347000000012e+03,2.013376340000000084e+02,1.292075221000000056e+03,-5.476501300000000327e+01,7.321872000000000469e+01,2.024618500000000054e+01,-6.653061499999999739e+01,4.713239999999999696e+01,9.107383999999999702e+00,-3.103611300000000028e+01,4.540584100000000234e+01,2.312984399999999852e+01,-1.874593199999999982e+01,2.029577799999999854e+01,8.327852000000000032e+00,-4.842488000000000348e+00,4.658492999999999995e+00,1
4.031495699999999829e+02,9.394809999999999661e+00,2.044570991999999933e+03,2.976669319999999743e+02,1.530293961000000081e+03,-3.707744579999999814e+02,1.781210309999999879e+02,-8.827142999999999518e+01,-2.476826810000000023e+02,8.409878399999999488e+01,-3.757710199999999645e+01,-7.226468099999999595e+01,3.604070399999999808e+01,2.745745399999999847e+01,-3.671275200000000183e+01,2.071762000000000015e+01,1.156745500000000071e+01,-5.461077399999999926e+01,2.347433000000000103e+00,1
8.704663100000000213e+02,2.466820399999999935e+01,6.197156547999999930e+03,7.854795020000000250e+02,5.149433788999999706e+03,-6.818823200000000497e+02,3.939487260000000219e+02,-4.872789800000000326e+01,-4.524850870000000214e+02,2.000080409999999915e+02,-5.095058800000000332e+01,-1.869785640000000058e+02,9.524896599999999580e+01,7.202063800000000526e+01,-1.102265179999999987e+02,6.965667999999999438e+01,3.142448600000000170e+01,-1.537866860000000031e+02,1.157523199999999974e+01,1
1.419716633000000002e+03,2.323134000000000032e+00,3.595547748999999840e+03,6.224008149999999659e+02,3.006485074000000168e+03,-1.355037930000000017e+02,1.740290860000000066e+02,1.010710669999999993e+02,-1.162618760000000009e+02,8.736747599999999636e+01,4.909397599999999784e+01,-5.596086999999999989e+01,1.664010269999999991e+02,5.372473999999999705e+01,-2.335493699999999961e+01,4.633689499999999839e+01,1.678000000000000114e+01,2.079191600000000051e+01,1.408370599999999939e+01,1
7.934007579999999962e+02,2.367217999999999822e+00,1.329057851000000028e+03,5.260521770000000288e+02,5.652842910000000529e+02,-3.363402800000000070e+01,7.526218299999999317e+01,9.125756300000000465e+01,-1.174874429999999990e+02,7.329139299999999935e+01,4.039163200000000131e+01,-6.412773599999999874e+01,1.115128270000000015e+02,4.737865399999999738e+01,-4.126529899999999884e+01,5.866665199999999913e+01,2.469004899999999836e+01,5.146043999999999841e+00,9.193982000000000099e+00,1
3.516868400000000179e+02,1.808434000000000097e+00,-3.964312871000000086e+03,2.437117340000000070e+02,-4.170856649999999718e+03,-1.739503090000000043e+02,9.922086699999999837e+01,-8.060258500000000481e+01,-1.114214690000000019e+02,5.270213600000000298e+01,-2.641876200000000097e+01,-4.675688399999999945e+01,6.385396599999999978e+01,2.755421700000000129e+01,-2.255784399999999934e+01,3.179305599999999998e+01,1.174230999999999980e+01,-1.299508499999999955e+01,7.315430000000000543e-01,1
2.674336940000000027e+02,4.012910999999999895e+00,-2.552733288999999786e+03,4.813963360000000193e+02,-3.155628412000000026e+03,-1.142389270000000039e+02,2.653344500000000039e+01,-6.906506000000000256e+01,-9.597887099999999805e+01,3.671623100000000051e+01,-1.864160199999999890e+01,-7.032756100000000288e+01,3.943454200000000043e+01,2.411581299999999928e+01,-2.913054100000000091e+01,1.253413100000000036e+01,9.943967999999999918e+00,-1.140400200000000019e+01,2.246967999999999854e+00,1
2.122929450000000031e+02,2.829133000000000120e+00,-2.461088738999999805e+03,2.745577199999999962e+01,-2.496126467999999932e+03,-8.705283000000000015e+01,7.560400500000000079e+01,5.546096000000000359e+00,-4.312938199999999966e+01,5.027239300000000100e+01,1.182297900000000013e+01,-5.379784500000000236e+01,2.373602999999999952e+01,2.053239900000000162e+01,-2.540582200000000057e+01,1.927909400000000062e+01,1.052744099999999960e+01,-1.966689300000000173e+01,3.717884000000000189e+00,1
1.321299669999999935e+02,2.243310000000000137e+00,-1.309784879999999930e+03,2.562259559999999965e+02,-1.679786818999999923e+03,-2.344604740000000049e+02,9.443347199999999475e+01,-9.057947799999999461e+01,-1.228283729999999991e+02,7.219937899999999331e+01,-2.398989200000000110e+01,-1.258723700000000036e+02,3.191580000000000084e+01,3.765895600000000343e+01,-3.883120900000000120e+01,3.806459900000000118e+01,1.499891299999999994e+01,-1.253670299999999926e+01,6.289715000000000167e+00,1
1.248126390000000043e+02,2.874497999999999998e+00,1.189947580000000045e+02,2.779571379999999863e+02,-3.363970699999999852e+02,-1.679700029999999913e+02,1.118242419999999981e+02,-4.841219799999999651e+01,-5.657058800000000076e+01,4.732639600000000257e+01,-6.595766000000000240e+00,-6.730634299999999826e+01,4.700289500000000231e+01,3.506644200000000211e+01,-4.505802899999999767e+01,2.316073700000000102e+01,1.393943699999999986e+01,-1.032963799999999921e+01,3.587606000000000073e+00,1
9.649793099999999413e+01,1.667357999999999896e+00,-2.509278300000000002e+02,2.069921699999999873e+02,-5.189653710000000046e+02,-1.194682389999999970e+02,6.885799699999999746e+01,-2.499892499999999984e+01,-8.701626100000000008e+01,6.171520999999999901e+01,-7.059248000000000189e+00,-5.997246799999999922e+01,5.239349200000000195e+01,2.608431699999999864e+01,-2.338986399999999932e+01,2.516072499999999934e+01,1.314560499999999976e+01,-9.639402999999999722e+00,1.738703000000000110e+00,1
7.297099000000000046e+01,1.699092999999999964e+00,3.901762160000000108e+02,3.322687470000000189e+02,-5.500220600000000104e+01,-1.848682249999999954e+02,1.051979410000000001e+02,-1.480739999999999945e+01,-1.003388130000000018e+02,5.524850399999999695e+01,-6.827135000000000176e+00,-6.026136000000000337e+01,7.769329899999999611e+01,3.822599900000000162e+01,-3.663115499999999969e+01,3.197385900000000092e+01,1.368435900000000061e+01,-6.774712000000000067e+00,7.223881000000000441e+00,1
3.977827899999999772e+01,3.036934000000000022e+00,-5.133545279999999593e+02,1.169661339999999967e+02,-7.108594389999999521e+02,-1.709578659999999957e+02,1.191299560000000071e+02,-9.272520000000000095e+00,-5.557106999999999886e+01,2.651481499999999869e+01,-6.706369999999999720e+00,-6.181184600000000273e+01,9.960901300000000447e+01,3.795196200000000175e+01,-2.980942699999999945e+01,3.051511500000000154e+01,1.423129300000000086e+01,-6.343287000000000120e+00,6.589527999999999608e+00,1
1.380207500000000032e+01,2.234923000000000215e+00,-1.932329880000000060e+02,2.240391679999999894e+02,-5.627024149999999736e+02,-1.531307009999999877e+02,1.011028780000000040e+02,-4.638015299999999996e+01,-1.409423969999999997e+02,4.538798400000000299e+01,-3.729344700000000046e+01,-5.960517600000000016e+01,2.185448900000000094e+01,2.312348700000000079e+01,-3.275387899999999775e+01,2.847653000000000034e+01,1.180270299999999928e+01,-1.016651200000000088e+01,6.477428999999999881e+00,1
2.835878500000000102e+01,2.182779000000000025e+00,1.839981879999999990e+02,2.803663169999999809e+02,-2.111054310000000100e+02,-2.617072180000000117e+02,1.664737169999999935e+02,-1.157054300000000069e+01,-2.035726420000000019e+02,9.307523600000000386e+01,-4.049304000000000237e+00,-8.117275300000000016e+01,8.525857000000000596e+01,4.402786700000000053e+01,-3.964837899999999848e+01,4.298977500000000163e+01,1.634849600000000081e+01,-9.346921999999999287e+00,6.745104000000000433e+00,1
1.247802899999999937e+01,2.220949000000000062e+00,1.745682940000000087e+02,1.083111109999999968e+02,6.368148699999999707e+01,-1.027232290000000035e+02,1.362433900000000051e+02,5.797988000000000142e+01,-1.064357260000000025e+02,6.566144799999999293e+01,2.311064000000000007e+00,-4.976906400000000019e+01,7.439937100000000214e+01,3.783973399999999998e+01,-3.161938500000000118e+01,2.991227599999999853e+01,1.491677699999999973e+01,-4.794718999999999731e+00,2.942547999999999941e+00,1
1.660392099999999971e+01,3.437171999999999894e+00,4.762319019999999909e+02,8.576555399999999452e+01,3.943415249999999901e+02,-2.444991399999999970e+01,2.069549100000000053e+01,-4.539559999999999818e+00,-5.759139900000000267e+01,2.147531499999999838e+01,-9.580052999999999486e+00,-3.145127199999999945e+01,3.228621100000000155e+01,1.624006599999999878e+01,-9.354378999999999778e+00,1.320076199999999922e+01,5.796710000000000029e+00,-1.400998200000000082e+01,1.233610900000000044e+01,1
2.142291099999999915e+01,3.022950999999999944e+00,2.435640649999999994e+02,6.961803899999999601e+01,1.535338010000000111e+02,-5.718883399999999995e+01,7.100066700000000708e+01,2.837497400000000169e+01,-3.363902999999999821e+01,3.153839599999999876e+01,1.457717099999999988e+01,-2.673473900000000114e+01,3.722399699999999712e+01,1.585171500000000044e+01,-1.542949699999999957e+01,2.557388800000000018e+01,9.709692999999999685e+00,-1.975703999999999994e+01,9.348019000000000744e+00,1
2.701919000000000182e+00,2.491171000000000024e+00,-8.958345099999999661e+01,8.335792999999999608e+01,-2.044314760000000035e+02,-4.010817500000000280e+01,2.605338199999999915e+01,-1.376401800000000009e+01,-6.067486999999999853e+01,3.099363200000000163e+01,-1.566366599999999920e+01,-3.439205199999999962e+01,6.785776300000000560e+01,2.290393600000000163e+01,-1.511156700000000086e+01,1.935552300000000159e+01,7.758676000000000350e+00,-1.287866200000000028e+01,6.048332000000000264e+00,1
1.673955899999999986e+01,2.747527999999999970e+00,3.851664900000000102e+01,1.098199479999999966e+02,-1.454630740000000060e+02,-8.205216199999999560e+01,4.515924400000000105e+01,-1.221243800000000057e+01,-4.211126099999999894e+01,2.209636799999999823e+01,-5.502673999999999843e+00,-1.891564999999999941e+01,5.485694099999999906e+01,1.897550599999999932e+01,-1.627569000000000088e+01,1.899732399999999899e+01,7.825967000000000340e+00,-1.222317400000000021e+01,5.295653999999999861e+00,1
1.646026200000000017e+01,2.978267000000000220e+00,2.954859599999999986e+01,1.296366199999999935e+02,-1.347488720000000058e+02,-9.328740000000000521e+01,5.991194899999999990e+01,-3.320720999999999812e+00,-7.234314600000000439e+01,3.561895899999999671e+01,-4.795613000000000348e+00,-2.762536300000000011e+01,2.967724199999999968e+01,1.719071299999999880e+01,-2.117667799999999900e+01,2.433025100000000052e+01,9.816959999999999908e+00,-7.685501999999999612e+00,7.341592999999999591e+00,1
2.145431900000000169e+01,2.924685999999999897e+00,3.469261880000000247e+02,1.353343600000000038e+02,2.055628539999999873e+02,-8.066999599999999759e+01,7.119435300000000666e+01,1.301880000000000059e+01,-7.222475300000000686e+01,3.440078599999999653e+01,-2.626438100000000020e+01,-5.587661099999999692e+01,5.270494099999999804e+01,2.529760500000000079e+01,-2.834635600000000011e+01,3.208310500000000332e+01,1.269691500000000062e+01,-4.279060999999999559e+00,4.552118000000000109e+00,1
